죄종별(1),죄종별(2),소,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총계,노동범죄,직업안정법,1042,612,1053,849,489,377,442,367,320,191,146,190
총계,노동범죄,기타노동범죄,484,732,622,408,619,2035,2361,1465,585,109,214,485
총계,안보범죄,소계,131,109,135,84,121,81,98,69,169,216,206,219
총계,안보범죄,공안을해하는죄,32,25,28,25,37,39,43,32,131,158,123,161
총계,안보범죄,국가보안법,85,77,98,58,73,35,42,28,28,28,63,24
총계,안보범죄,기타안보범죄,14,7,9,1,11,7,13,9,10,30,20,34
총계,선거범죄,소계,212,1262,398,1874,760,1018,640,1897,611,829,274,2969
총계,선거범죄,공직선거법,170,1206,388,1848,60,965,607,1823,35,773,242,2902
총계,선거범죄,정당법,7,3,-,3,1,6,5,14,1,4,6,6
총계,선거범죄,정치자금법,20,32,6,19,13,16,13,40,23,23,12,36
총계,선거범죄,기타선거범죄,15,21,4,4,686,31,15,20,552,29,14,25
총계,병역범죄,소계,20587,23143,26173,21549,18726,16651,15327,14271,12712,3845,1823,4638
총계,병역범죄,병역법,8837,9017,11185,7312,6168,6321,7248,6856,6259,2009,1555,3554
총계,병역범죄,예비군법위반,11729,14115,14985,14231,12554,10325,8076,7413,6452,1831,266,1084
총계,병역범죄,기타병역범죄,21,11,3,6,4,5,3,2,1,5,2,-
총계,기타범죄,소계,176357,174267,188956,180526,216197,260539,234871,221862,240168,241829,243082,267964
총계,기타범죄,가정폭력범죄의처벌등에관한특례법위반,-,-,-,181,236,205,196,361,392,399,1085,1310
총계,기타범죄,개인정보보호법,85,25,7,1227,953,956,1082,1288,1520,2003,2118,2331
총계,기타범죄,건설산업기본법,856,393,371,491,870,1849,3738,1886,832,638,620,670
총계,기타범죄,건설폐기물의재활용촉진에관한법률,184,59,75,42,31,55,49,43,50,45,68,36
총계,기타범죄,건축법,4753,4886,4398,5151,4542,3885,4294,3974,3918,3361,2347,2094
총계,기타범죄,게임산업진흥에관한법률,8653,6044,5735,5320,7074,7872,7192,4926,4376,3839,2739,2906
총계,기타범죄,경범죄처벌법,220,309,2415,4471,5682,7290,6480,6691,7627,7689,7076,8390
총계,기타범죄,고압가스안전관리법,481,43,74,67,62,365,164,294,383,150,906,206
총계,기타범죄,골재채취법,91,58,49,59,217,46,172,63,54,804,36,41
총계,기타범죄,공무방해에관한죄,13191,14075,13877,15042,14342,14748,12528,10959,11545,10789,9366,10827
총계,기타범죄,공유수면관리및매립에관한법률위반,261,1480,6867,810,4161,5347,1083,4178,6032,8986,5116,7165
총계,기타범죄,공인중개사법,949,972,781,1369,1192,929,852,1151,755,778,846,928
총계,기타범죄,과실치사상의죄,4330,4642,4707,4871,5260,5489,5841,6235,6614,6314,5769,6155
