죄종별,죄종별(2),죄종별(3),연령별,항목,단위,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
특별법범,가정의례에 관한 법률,소계,14세미만,범죄자[명],명,1,,,,,,,,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,성인,범죄자[명],명,576,307,78,149,54,76,13,2,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,미상,범죄자[명],명,8,,,,,,,,,,,,,,,,
특별법범,건설기계관리법,소계,미성년,범죄자[명],명,6,,,,,,,,,,,,,,1,,1
특별법범,건설기계관리법,소계,14세미만,범죄자[명],명,2,,,,,,,,,,,,,,,,1
특별법범,건설기계관리법,소계,성인,범죄자[명],명,909,23,4,,,,,,,,,,,,559,496,601
특별법범,건설기계관리법,소계,미상,범죄자[명],명,128,,,,,,,,,,,,,,13,8,18
특별법범,건설산업기본법,소계,성인,범죄자[명],명,,,,,,,,,,,398,530,398,384,357,582,760
특별법범,건설산업기본법,소계,미상,범죄자[명],명,,,,,,,,,,,90,43,34,11,17,15,76
특별법범,건설업법,소계,미성년,범죄자[명],명,1,1,,,,,,,,,,,,,,,
특별법범,건설업법,소계,14세미만,범죄자[명],명,1,1,,,,,,,,,,,,,,,
특별법범,건설업법,소계,성인,범죄자[명],명,748,932,658,392,132,35,8,2,,,,,,,,,
특별법범,건설업법,소계,미상,범죄자[명],명,8,7,11,10,4,,,1,,,,,,,,,
특별법범,건설폐기물의재활용촉진에관한법률,소계,성인,범죄자[명],명,,,,,,,,,,,,,,,,,118
특별법범,건설폐기물의재활용촉진에관한법률,소계,미상,범죄자[명],명,,,,,,,,,,,,,,,,,6
특별법범,건축법,소계,미성년,범죄자[명],명,24,16,15,13,10,7,9,8,10,10,3,3,,,1,3,
특별법범,건축법,소계,14세미만,범죄자[명],명,11,4,5,5,,2,3,4,2,3,2,,,,,1,
특별법범,건축법,소계,성인,범죄자[명],명,11239,10973,9073,9464,8159,8011,7535,8230,9505,9662,9734,6446,5959,5252,5811,6018,5488
특별법범,건축법,소계,미상,범죄자[명],명,112,19,39,57,37,35,22,38,28,39,366,92,69,57,52,62,108
특별법범,게임산업진흥에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,,,9,389,155,219,156
특별법범,게임산업진흥에 관한 법률,소계,14세미만,범죄자[명],명,,,,,,,,,,,,,,,,,1
특별법범,게임산업진흥에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,,,1283,30102,25995,29219,19266
특별법범,게임산업진흥에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,,,1,137,355,626,424
특별법범,경범죄처벌법,소계,미성년,범죄자[명],명,1,17,14,15,21,1,1,,,2,,,,,,,1
특별법범,경범죄처벌법,소계,성인,범죄자[명],명,85,66,56,86,79,30,41,55,47,51,64,72,126,114,190,230,200
특별법범,경범죄처벌법,소계,미상,범죄자[명],명,,,,,,,,1,,1,1,,,,,,3
특별법범,경찰관직무집행법,소계,성인,범죄자[명],명,,,,,,1,,,,,,,,,,,
특별법범,계량법,소계,미성년,범죄자[명],명,2,,,,,,,,,,,,,,,,
특별법범,계량법,소계,성인,범죄자[명],명,47,2,1,1,1,12,1,,,1,,,,,,,
특별법범,계량법,소계,미상,범죄자[명],명,2,,,,,,,,,1,,,,,,,
특별법범,계량에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,,,,2,,,
특별법범,고압가스안전관리법,소계,미성년,범죄자[명],명,,1,1,,,,,,1,,,,,,,,
특별법범,고압가스안전관리법,소계,성인,범죄자[명],명,55,81,128,67,34,115,91,80,88,85,74,74,54,79,85,34,
특별법범,고압가스안전관리법,소계,미상,범죄자[명],명,,,2,2,,5,1,1,1,,,4,,1,,1,
