죄종별(1),죄종별(2),죄종별(3),범죄발생장소별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,강력범죄,강간,대형할인매장,-,-,-,-,-,-,-,1,-,-,-,-
총범죄,강력범죄,강간,상점,-,-,39,32,35,27,16,39,27,42,33,33
총범죄,강력범죄,강간,시장노점,-,-,16,19,19,13,10,17,21,15,15,19
총범죄,강력범죄,강간,숙박업소 목욕탕,-,-,1869,1447,1364,1319,1411,1582,1687,1690,1692,1644
총범죄,강력범죄,강간,유흥접객업소,-,-,314,281,255,269,224,282,297,256,158,196
총범죄,강력범죄,강간,사무실,-,-,79,58,62,66,38,49,42,58,41,55
총범죄,강력범죄,강간,공장,-,-,5,4,3,7,2,5,5,2,2,2
총범죄,강력범죄,강간,공사장광산,-,-,4,2,-,3,4,2,2,-,1,2
총범죄,강력범죄,강간,창고,-,-,5,12,5,6,2,3,4,4,5,3
총범죄,강력범죄,강간,역대합실,-,-,2,3,2,1,3,2,-,2,1,2
총범죄,강력범죄,강간,지하철,-,-,-,-,-,1,-,-,-,1,-,-
총범죄,강력범죄,강간,기타교통수단내,-,-,140,122,124,135,115,130,135,146,136,131
총범죄,강력범죄,강간,흥행장,-,-,4,6,1,4,-,6,4,7,2,1
총범죄,강력범죄,강간,유원지,-,-,41,37,30,24,24,22,25,15,17,20
총범죄,강력범죄,강간,학교,-,-,28,21,28,25,26,25,16,12,16,15
총범죄,강력범죄,강간,금융기관,-,-,1,1,1,-,1,-,-,-,-,-
총범죄,강력범죄,강간,의료기관,-,-,24,24,18,11,13,16,15,18,15,11
총범죄,강력범죄,강간,종교기관,-,-,13,21,22,12,14,8,14,10,8,7
총범죄,강력범죄,강간,산야,-,-,40,34,26,24,9,17,8,12,8,9
총범죄,강력범죄,강간,해상,-,-,1,-,-,-,-,1,-,1,-,-
총범죄,강력범죄,강간,부대,-,-,-,2,-,-,-,-,1,-,1,1
총범죄,강력범죄,강간,구금장소,-,-,1,-,-,-,-,-,-,-,-,-
