대분류,중분류,소분류,교육정도별(1),교육정도별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,방화,대학(4년이상),재중,19,23,26,28,21,21,18,19,14,12,16,19
소계,강력범죄,방화,대학(4년이상),중퇴,17,21,26,27,26,29,17,17,37,25,25,18
소계,강력범죄,방화,대학(4년이상),졸업,67,57,77,94,83,87,79,101,77,102,54,90
소계,강력범죄,방화,대학원,소계,11,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,방화,대학원,재중,-,-,4,-,2,1,3,1,3,-,-,3
소계,강력범죄,방화,대학원,중퇴,-,2,1,-,1,2,4,2,3,-,1,1
소계,강력범죄,방화,대학원,졸업,-,4,11,8,13,9,8,13,13,13,17,10
소계,강력범죄,방화,기타,소계,66,42,24,23,26,18,23,18,11,8,11,23
소계,강력범죄,방화,미상,소계,217,157,156,163,204,199,195,183,236,204,137,201
소계,절도범죄,소계,불취학,소계,1270,1173,1295,1381,1624,2079,2182,2200,2526,2483,2598,2783
소계,절도범죄,소계,초등학교,재중,66,43,15,56,52,46,58,38,29,46,45,46
소계,절도범죄,소계,초등학교,중퇴,1539,1419,1476,1570,1907,2216,2433,2485,2778,2697,2656,3140
소계,절도범죄,소계,초등학교,졸업,5002,4568,4943,5050,5775,6541,7052,6840,7588,7428,7301,7931
소계,절도범죄,소계,중학교,재중,9487,10957,9338,7624,7473,6196,6155,5758,6132,6491,5158,6284
소계,절도범죄,소계,중학교,중퇴,5456,5434,5317,3923,3769,3286,2894,2650,2676,2197,1895,2140
소계,절도범죄,소계,중학교,졸업,7256,6636,7440,7085,7580,7969,7829,7583,8041,7674,6545,7055
소계,절도범죄,소계,고등학교,재중,12288,14330,11810,9759,10277,9695,8392,6124,6054,6495,4962,4979
소계,절도범죄,소계,고등학교,중퇴,8515,8313,7898,6300,6476,6010,5434,5202,5099,4368,3243,3840
소계,절도범죄,소계,고등학교,졸업,27719,24202,24913,24609,27249,28854,29256,27260,27559,26710,23617,24649
소계,절도범죄,소계,대학(4년미만),재중,972,835,705,650,640,622,490,451,405,321,254,271
소계,절도범죄,소계,대학(4년미만),중퇴,551,524,556,545,594,572,564,586,612,503,422,407
소계,절도범죄,소계,대학(4년미만),졸업,2737,2697,2943,2917,3350,3520,3637,3509,3607,3342,2715,3128
소계,절도범죄,소계,대학(4년이상),재중,3467,3815,3308,3240,3471,3211,2856,2181,1980,1585,1189,1336
소계,절도범죄,소계,대학(4년이상),중퇴,1316,1365,1686,1670,1889,2199,2241,2043,2172,2006,1710,1774
소계,절도범죄,소계,대학(4년이상),졸업,5060,5032,5729,6236,6981,8218,8475,7682,7917,7874,7217,8343
소계,절도범죄,소계,대학원,소계,1160,-,-,-,-,-,-,-,-,-,-,-
소계,절도범죄,소계,대학원,재중,-,333,360,357,398,445,358,198,211,194,155,172
소계,절도범죄,소계,대학원,중퇴,-,115,139,136,167,182,159,105,94,108,92,120
소계,절도범죄,소계,대학원,졸업,-,569,663,740,827,932,933,705,866,819,811,899
소계,절도범죄,소계,기타,소계,4087,2348,1360,1325,1272,1396,1226,961,1087,1184,1319,1600
소계,절도범죄,소계,미상,소계,13442,9726,10764,10472,11395,12226,13071,12773,13862,13900,11783,13418
소계,폭력범죄,소계,불취학,소계,2447,2763,2628,2553,2710,2601,2154,2178,2047,1823,1528,1383
소계,폭력범죄,소계,초등학교,재중,54,57,9,20,29,40,25,36,27,23,25,30
소계,폭력범죄,소계,초등학교,중퇴,2988,3335,3215,3030,3293,3243,2921,2759,3040,2539,2330,2188
소계,폭력범죄,소계,초등학교,졸업,14790,15132,14630,13676,14114,13596,11926,11444,11156,10259,8908,8425
소계,폭력범죄,소계,중학교,재중,5944,8669,4261,3783,3058,3329,3569,3783,3594,3037,3090,4292
소계,폭력범죄,소계,중학교,중퇴,7253,8059,7220,6367,6422,6237,5517,5045,5115,4258,3851,3862
소계,폭력범죄,소계,중학교,졸업,22778,23342,23211,21415,21939,21720,20068,19510,19594,17626,15172,15202
소계,폭력범죄,소계,고등학교,재중,9356,14654,8446,7156,7412,7670,8526,6773,6142,5437,5566,5689
소계,폭력범죄,소계,고등학교,중퇴,13597,14053,12335,11427,12089,11979,11237,10832,10772,9306,8110,8400
소계,폭력범죄,소계,고등학교,졸업,119619,118712,108489,102418,102507,102483,97831,90939,91827,84926,76095,79055
소계,폭력범죄,소계,대학(4년미만),재중,2163,2235,1690,1566,1427,1350,1188,1269,1212,970,897,804
소계,폭력범죄,소계,대학(4년미만),중퇴,1632,1661,1671,1611,1698,1655,1412,1583,1631,1410,1188,1226
소계,폭력범죄,소계,대학(4년미만),졸업,11286,12164,12227,11694,12358,12267,11914,12178,12186,10919,9881,10491
소계,폭력범죄,소계,대학(4년이상),재중,8229,10202,8241,7686,7245,6830,6278,5577,5129,4594,4347,4283
소계,폭력범죄,소계,대학(4년이상),중퇴,5441,5912,6143,6236,6662,7169,6990,6720,6793,6363,5684,6171
소계,폭력범죄,소계,대학(4년이상),졸업,25487,27533,27299,26454,28219,29813,28120,27901,28172,26334,25060,26650
소계,폭력범죄,소계,대학원,소계,4667,-,-,-,-,-,-,-,-,-,-,-
