대분류,중분류,소분류,교육정도별(1),교육정도별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,절도범,소계,초등학교,중퇴,1344,1200,1099,1072,1475,1495,1508,1333,1341,1319,1355,1256,1075,1176,1179,1543,1642
형법범,절도범,소계,초등학교,졸업,4230,3453,3172,3251,4639,4759,4275,3951,4273,4146,4302,4173,3894,4462,4469,5519,5562
형법범,절도범,소계,중학교,재중,8348,8430,8745,9595,9317,6997,7984,5662,6406,6181,6664,7661,9291,12021,11002,11865,10779
형법범,절도범,소계,중학교,중퇴,5541,5364,5924,6145,8313,7332,6949,6015,5581,4912,4779,4699,4473,5224,5485,6533,6100
형법범,절도범,소계,중학교,졸업,5505,4963,4505,4808,6697,6254,5818,5336,5661,5457,5911,6245,6689,7744,8104,10096,8313
형법범,절도범,소계,고등학교,재중,8787,9518,9721,10620,13469,10734,10830,8101,9772,9385,9831,11009,11767,14199,13390,16315,13190
형법범,절도범,소계,고등학교,중퇴,4344,4534,4877,5444,7492,6699,6559,5927,5661,5261,4858,5035,4799,5890,6344,8620,8567
형법범,절도범,소계,고등학교,졸업,9900,9385,8881,9652,13050,13375,13218,13630,14219,14357,14736,15687,17610,20591,21504,29668,27825
형법범,절도범,소계,대학(4년미만),재중,365,400,435,569,842,809,680,808,911,767,602,635,690,807,804,1173,1041
형법범,절도범,소계,대학(4년미만),중퇴,162,167,143,182,347,329,374,541,557,571,418,406,374,458,469,697,613
형법범,절도범,소계,대학(4년미만),졸업,812,768,639,742,1070,1227,1150,1282,1552,1701,1637,1571,1656,1970,2038,3112,2959
형법범,절도범,소계,대학(4년이상),재중,537,581,553,658,896,998,1005,1007,1144,1098,1450,1390,1705,1976,2292,3814,3627
형법범,절도범,소계,대학(4년이상),중퇴,343,323,300,329,466,532,574,687,725,721,668,668,590,741,684,1130,1299
형법범,절도범,소계,대학(4년이상),졸업,986,988,1026,1037,1500,1637,1669,1675,1994,2109,2087,2119,2024,2505,2636,3990,4568
형법범,절도범,소계,대학원,소계,67,88,99,97,116,159,106,200,289,212,155,176,152,147,178,282,1010
형법범,절도범,소계,기타,소계,175,217,276,233,251,284,381,437,571,406,598,290,660,713,859,1320,2303
형법범,절도범,소계,미상,소계,678,564,728,958,2125,1985,1747,1672,1752,1987,7236,7927,10466,11343,13430,18874,18236
형법범,절도범,절도,불취학,소계,536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,초등학교,재중,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,초등학교,중퇴,641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,초등학교,졸업,2339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,중학교,재중,1320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,중학교,중퇴,1743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,중학교,졸업,2630,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,고등학교,재중,2201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,고등학교,중퇴,1621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,고등학교,졸업,5884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,대학(4년미만),재중,176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,대학(4년미만),중퇴,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,대학(4년미만),졸업,536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,대학(4년이상),재중,321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,대학(4년이상),중퇴,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,대학(4년이상),졸업,678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,대학원,소계,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,기타,소계,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,절도,미상,소계,322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),불취학,소계,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),초등학교,재중,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),초등학교,중퇴,196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),초등학교,졸업,422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),중학교,재중,311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),중학교,중퇴,560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),중학교,졸업,477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),고등학교,재중,270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),고등학교,중퇴,375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),고등학교,졸업,444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),대학(4년미만),재중,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),대학(4년미만),중퇴,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),대학(4년미만),졸업,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),대학(4년이상),재중,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),대학(4년이상),중퇴,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),대학(4년이상),졸업,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),대학원,소계,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),기타,소계,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특가법(절도),미상,소계,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
