대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,기타 강간·강제추행등,외국인,소계,-,-,25,19,13,12,7,15,9,3,8,7
소계,강력범죄,기타 강간·강제추행등,외국인,미국,-,-,2,-,1,1,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,중국,-,-,7,8,3,5,4,6,4,1,-,3
소계,강력범죄,기타 강간·강제추행등,외국인,일본,-,-,-,-,-,-,1,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,몽골,-,-,2,1,2,1,1,2,-,-,-,2
소계,강력범죄,기타 강간·강제추행등,외국인,베트남,-,-,1,-,-,-,-,-,-,-,3,-
소계,강력범죄,기타 강간·강제추행등,외국인,태국,-,-,-,1,-,-,-,-,-,-,1,-
소계,강력범죄,기타 강간·강제추행등,외국인,대만,-,-,-,-,-,2,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,러시아,-,-,-,-,-,-,1,1,-,1,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,방글라데시,-,-,2,1,1,-,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,스리랑카,-,-,3,1,-,-,-,1,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,우즈베키스탄,-,-,3,2,-,1,-,-,2,1,1,-
소계,강력범죄,기타 강간·강제추행등,외국인,인도네시아,-,-,-,-,-,-,-,-,1,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,캐나다,-,-,-,-,-,-,-,-,-,-,-,1
소계,강력범죄,기타 강간·강제추행등,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,필리핀,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,파키스탄,-,-,1,1,1,-,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,외국인,기타,-,-,4,4,5,2,-,5,2,-,3,1
소계,강력범죄,방화,한국,소계,1502,1382,1359,1444,1485,1379,1262,1360,1296,1175,932,1128
소계,강력범죄,방화,외국인,소계,17,17,27,22,32,17,24,27,21,21,16,18
소계,강력범죄,방화,외국인,미국,2,3,2,-,-,3,3,2,-,-,-,-
소계,강력범죄,방화,외국인,중국,9,12,11,14,23,6,14,11,13,14,9,12
소계,강력범죄,방화,외국인,일본,-,-,1,-,-,-,1,-,-,-,-,-
소계,강력범죄,방화,외국인,몽골,-,-,-,1,1,3,-,1,-,1,1,2
소계,강력범죄,방화,외국인,베트남,2,-,3,1,1,-,1,3,-,-,2,1
소계,강력범죄,방화,외국인,태국,-,-,2,2,-,2,2,1,-,1,-,-
소계,강력범죄,방화,외국인,대만,2,-,1,-,1,-,-,1,-,-,-,-
소계,강력범죄,방화,외국인,러시아,1,-,-,-,-,-,2,4,2,4,1,1
소계,강력범죄,방화,외국인,방글라데시,-,-,1,-,-,-,-,1,-,-,-,-
소계,강력범죄,방화,외국인,스리랑카,-,-,-,2,-,-,-,-,-,-,-,-
소계,강력범죄,방화,외국인,우즈베키스탄,-,1,2,-,1,1,-,-,2,-,1,-
소계,강력범죄,방화,외국인,인도네시아,-,-,1,-,2,-,-,-,-,-,-,-
소계,강력범죄,방화,외국인,캐나다,-,-,-,-,-,-,-,-,-,-,1,-
소계,강력범죄,방화,외국인,키르기스스탄,-,1,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,방화,외국인,필리핀,-,-,-,-,-,1,-,1,-,-,1,-
소계,강력범죄,방화,외국인,파키스탄,-,-,1,-,1,-,-,1,1,-,-,-
소계,강력범죄,방화,외국인,기타,1,-,2,2,2,1,1,1,3,1,-,2
소계,절도범죄,소계,한국,소계,109633,102880,100915,93871,100875,103604,102797,94418,98137,95669,83345,91968
소계,절도범죄,소계,외국인,소계,1757,1554,1743,1774,2291,2811,2898,2916,3158,2756,2342,2347
소계,절도범죄,소계,외국인,미국,112,102,106,99,99,99,146,95,123,97,84,97
소계,절도범죄,소계,외국인,중국,667,622,763,827,1150,1440,1359,1357,1444,1326,1265,1229
소계,절도범죄,소계,외국인,일본,6,11,10,11,44,20,23,22,40,15,9,21
소계,절도범죄,소계,외국인,몽골,294,229,203,163,181,259,220,234,195,190,116,102
소계,절도범죄,소계,외국인,베트남,228,176,180,161,175,182,162,156,194,176,174,190
소계,절도범죄,소계,외국인,태국,36,12,12,23,37,51,40,49,47,56,56,43
소계,절도범죄,소계,외국인,대만,40,35,32,43,48,53,44,66,95,52,27,49
소계,절도범죄,소계,외국인,러시아,55,43,46,74,86,139,232,226,234,153,91,82
소계,절도범죄,소계,외국인,방글라데시,7,2,8,7,11,9,6,5,12,6,6,7
소계,절도범죄,소계,외국인,스리랑카,39,23,25,17,32,43,27,29,14,17,18,4
소계,절도범죄,소계,외국인,우즈베키스탄,84,97,144,113,132,130,174,175,187,188,103,129
소계,절도범죄,소계,외국인,인도네시아,23,8,9,11,19,11,18,21,22,12,9,9
소계,절도범죄,소계,외국인,캐나다,15,16,16,18,14,24,23,26,23,23,15,28
소계,절도범죄,소계,외국인,키르기스스탄,8,3,6,8,11,8,13,12,9,15,9,10
소계,절도범죄,소계,외국인,필리핀,20,21,25,40,35,34,36,29,37,33,24,36
소계,절도범죄,소계,외국인,파키스탄,14,6,13,12,11,16,14,17,20,12,14,10
소계,절도범죄,소계,외국인,기타,109,148,145,147,206,293,361,397,462,385,322,301
소계,폭력범죄,소계,한국,소계,384288,392209,361575,349634,362937,371254,354559,340420,337792,306073,257979,267952
소계,폭력범죄,소계,외국인,소계,7754,8073,8338,8641,9786,9711,8952,8549,8769,7917,6250,6721
소계,폭력범죄,소계,외국인,미국,494,475,470,453,448,485,421,406,403,319,304,371
소계,폭력범죄,소계,외국인,중국,4994,5275,5553,5903,6671,6592,5767,5366,5410,4604,3683,3974
소계,폭력범죄,소계,외국인,일본,26,32,41,37,44,45,38,41,42,27,21,24
소계,폭력범죄,소계,외국인,몽골,452,536,435,358,399,418,405,379,363,343,269,294
소계,폭력범죄,소계,외국인,베트남,522,477,449,435,380,344,299,330,455,482,437,449
소계,폭력범죄,소계,외국인,태국,127,113,94,102,183,157,181,191,204,139,136,152
소계,폭력범죄,소계,외국인,대만,120,137,125,129,120,115,115,115,86,69,81,75
소계,폭력범죄,소계,외국인,러시아,49,70,69,87,106,162,257,254,338,307,189,218
소계,폭력범죄,소계,외국인,방글라데시,54,37,46,30,34,25,32,27,34,48,19,17
소계,폭력범죄,소계,외국인,스리랑카,142,108,90,108,153,102,63,77,53,61,35,30
소계,폭력범죄,소계,외국인,우즈베키스탄,197,163,243,244,279,296,364,369,295,353,275,264
소계,폭력범죄,소계,외국인,인도네시아,30,25,18,23,50,54,20,25,25,43,14,21
소계,폭력범죄,소계,외국인,캐나다,74,103,88,82,118,102,105,93,90,55,57,58
소계,폭력범죄,소계,외국인,키르기스스탄,6,17,16,21,26,22,36,27,36,39,22,23
소계,폭력범죄,소계,외국인,필리핀,96,69,66,61,99,101,97,67,68,92,58,68
소계,폭력범죄,소계,외국인,파키스탄,57,66,37,40,47,41,65,34,29,35,46,21
소계,폭력범죄,소계,외국인,기타,314,370,498,528,629,650,687,748,838,901,604,662
소계,폭력범죄,상해,한국,소계,87781,83453,73872,65629,60804,63843,57240,51484,47527,42277,34661,32249
소계,폭력범죄,상해,외국인,소계,1357,1397,1334,1256,1255,1852,1611,1383,1327,1275,927,949
소계,폭력범죄,상해,외국인,미국,117,112,90,79,70,76,55,44,43,41,31,34
소계,폭력범죄,상해,외국인,중국,910,904,846,818,817,1224,984,886,826,711,544,556
소계,폭력범죄,상해,외국인,일본,3,4,8,7,5,4,2,3,7,6,4,1
소계,폭력범죄,상해,외국인,몽골,77,87,61,40,41,56,67,52,46,44,28,28
