대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,기타 강간·강제추행등,공무원,-,-,-,1,-,-,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,고용자,-,-,3,3,1,2,4,1,2,2,-,2
소계,강력범죄,기타 강간·강제추행등,피고용자,-,-,15,3,5,4,2,1,-,2,-,1
소계,강력범죄,기타 강간·강제추행등,직장동료,-,-,13,20,6,11,4,3,5,4,4,4
소계,강력범죄,기타 강간·강제추행등,친구,-,-,129,65,45,47,41,20,29,10,15,18
소계,강력범죄,기타 강간·강제추행등,애인,-,-,54,46,26,21,28,20,21,14,17,16
소계,강력범죄,기타 강간·강제추행등,동거친족,-,-,28,11,28,18,10,12,15,11,14,11
소계,강력범죄,기타 강간·강제추행등,기타친족,-,-,16,10,8,9,11,14,14,12,9,15
소계,강력범죄,기타 강간·강제추행등,거래상대방,-,-,8,10,2,1,1,2,3,1,1,1
소계,강력범죄,기타 강간·강제추행등,이웃,-,-,115,93,38,24,22,24,16,14,9,14
소계,강력범죄,기타 강간·강제추행등,지인,-,-,206,120,66,79,34,53,77,63,38,33
소계,강력범죄,기타 강간·강제추행등,타인,-,-,951,610,328,234,170,208,208,138,106,108
소계,강력범죄,기타 강간·강제추행등,기타,-,-,173,56,23,20,11,18,31,12,19,10
소계,강력범죄,기타 강간·강제추행등,미상,-,-,176,145,110,51,33,82,74,66,39,49
소계,강력범죄,방화,국가,85,59,57,57,81,81,67,56,51,44,35,43
소계,강력범죄,방화,공무원,9,11,11,25,5,9,6,10,5,8,2,7
소계,강력범죄,방화,고용자,19,20,13,22,20,16,15,6,11,2,6,-
소계,강력범죄,방화,피고용자,12,3,6,11,2,4,3,5,2,6,7,7
소계,강력범죄,방화,직장동료,8,8,10,7,9,8,12,7,6,7,4,8
소계,강력범죄,방화,친구,10,10,11,6,8,8,2,7,4,1,7,6
소계,강력범죄,방화,애인,82,81,66,90,93,65,71,76,54,47,38,39
소계,강력범죄,방화,동거친족,195,173,217,219,223,223,169,201,195,166,144,162
소계,강력범죄,방화,기타친족,44,38,57,55,45,42,39,42,44,42,36,35
소계,강력범죄,방화,거래상대방,59,12,13,20,32,19,20,20,13,16,8,13
소계,강력범죄,방화,이웃,89,73,96,100,79,61,71,67,71,52,59,46
소계,강력범죄,방화,지인,42,52,53,48,42,38,29,61,43,38,42,34
소계,강력범죄,방화,타인,472,537,508,613,553,506,486,494,455,462,363,472
소계,강력범죄,방화,기타,228,213,175,89,197,181,151,155,139,120,107,135
소계,강력범죄,방화,미상,165,109,93,104,128,135,145,180,224,185,90,139
소계,절도범죄,소계,국가,700,559,503,212,309,254,245,90,144,202,119,94
소계,절도범죄,소계,공무원,79,53,42,46,35,38,36,23,24,30,14,19
소계,절도범죄,소계,고용자,3120,2209,1928,1712,1664,1589,1484,995,735,636,410,495
소계,절도범죄,소계,피고용자,690,667,638,548,468,468,447,612,532,421,310,268
소계,절도범죄,소계,직장동료,863,795,863,770,841,848,731,594,548,479,371,380
소계,절도범죄,소계,친구,1714,2013,1961,1335,1402,1275,1192,714,648,667,539,616
소계,절도범죄,소계,애인,877,722,694,650,629,728,674,515,479,434,343,283
소계,절도범죄,소계,동거친족,250,163,187,164,122,122,115,64,67,69,45,56
