죄종별(1),죄종별(2),죄종별(3),범죄발생시간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,폭력범죄,손괴,18:00~20:59,11460,10694,10224,10249,10103,9796,9130,9066,9323,9381,9354,8948
총범죄,폭력범죄,손괴,21:00~23:59,14208,13566,12599,12264,11968,11768,11014,10633,10822,10293,10922,10835
총범죄,폭력범죄,손괴,미상,6886,6808,6496,6722,6883,6983,6599,7375,7775,8036,7548,8280
총범죄,지능범죄,소계,00:00~02:59,13910,6268,7976,7172,7629,7790,8144,8064,8393,8553,4510,6686
총범죄,지능범죄,소계,03:00~05:59,4403,4901,5339,5098,5729,6041,6107,6271,6637,6607,3483,4855
총범죄,지능범죄,소계,06:00~08:59,2651,3423,3392,3589,4386,4932,5147,5373,5971,6507,5322,6556
총범죄,지능범죄,소계,09:00~11:59,43054,49899,55880,51223,53372,52428,53020,49689,49269,49785,36537,34114
총범죄,지능범죄,소계,12:00~14:59,13961,26924,29908,27536,29583,31328,33174,35810,38231,44125,43434,44938
총범죄,지능범죄,소계,15:00~17:59,14352,17064,21391,19458,21509,22434,23158,27529,28941,36693,39182,43169
총범죄,지능범죄,소계,18:00~20:59,9068,10618,14495,13961,16461,17644,17306,18963,20981,25697,23055,28810
총범죄,지능범죄,소계,21:00~23:59,9160,10746,13122,12977,15228,16702,16869,17692,19100,20134,16590,22007
총범죄,지능범죄,소계,미상,169243,165258,177936,157638,162224,153278,139541,175307,204010,226541,188994,213970
총범죄,지능범죄,직무유기,00:00~02:59,10,4,3,4,5,3,-,3,2,2,4,6
총범죄,지능범죄,직무유기,03:00~05:59,2,6,4,1,3,5,3,2,3,4,5,7
총범죄,지능범죄,직무유기,06:00~08:59,-,5,2,5,4,7,8,3,8,9,7,7
총범죄,지능범죄,직무유기,09:00~11:59,68,110,161,143,110,132,140,117,123,137,99,114
총범죄,지능범죄,직무유기,12:00~14:59,12,27,51,61,50,38,37,31,33,47,33,54
총범죄,지능범죄,직무유기,15:00~17:59,22,18,22,26,25,19,16,26,21,29,30,48
총범죄,지능범죄,직무유기,18:00~20:59,10,17,12,9,7,11,11,7,9,11,16,23
총범죄,지능범죄,직무유기,21:00~23:59,5,10,6,5,10,9,5,10,5,6,6,19
총범죄,지능범죄,직무유기,미상,248,299,294,323,293,307,284,382,386,485,757,1272
총범죄,지능범죄,직권남용,00:00~02:59,14,11,9,10,11,16,14,10,8,11,10,18
총범죄,지능범죄,직권남용,03:00~05:59,8,4,5,8,16,10,7,12,11,10,4,11
총범죄,지능범죄,직권남용,06:00~08:59,3,6,10,10,2,11,10,12,12,11,11,21
