대분류,중분류,소분류,범행동기별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,폭력범죄,체포・감금,미상,369,450,446,510,498,567,680,681,703,725,572,533
소계,폭력범죄,협박,이욕,116,166,127,69,72,97,116,109,111,95,116,89
소계,폭력범죄,협박,사행심,2,10,4,-,4,7,4,4,6,14,14,7
소계,폭력범죄,협박,보복,11,11,8,11,76,90,90,89,95,71,113,96
소계,폭력범죄,협박,가정불화,61,115,89,109,731,1754,1600,1690,2154,1943,2140,1988
소계,폭력범죄,협박,호기심,9,16,18,16,25,35,22,21,29,30,19,18
소계,폭력범죄,협박,유혹,4,16,3,5,5,10,14,15,7,13,4,6
소계,폭력범죄,협박,우발적,1010,1255,1337,1364,2768,5558,5508,6832,8506,8737,9055,9520
소계,폭력범죄,협박,현실불만,95,123,86,89,152,285,279,212,254,217,249,217
소계,폭력범죄,협박,부주의,47,35,51,58,108,442,507,385,487,402,335,293
소계,폭력범죄,협박,기타,812,1047,984,1150,1906,4081,3851,3129,3495,3659,3796,3835
소계,폭력범죄,협박,미상,1688,1938,1975,2289,3350,4466,4608,5851,7233,7326,6182,6382
소계,폭력범죄,약취・유인,이욕,61,50,30,49,34,41,34,34,31,11,14,14
소계,폭력범죄,약취・유인,사행심,-,-,1,-,8,-,1,2,2,11,-,1
소계,폭력범죄,약취・유인,보복,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,가정불화,8,3,6,20,8,14,21,12,21,12,8,15
소계,폭력범죄,약취・유인,호기심,3,8,4,7,3,2,3,3,4,7,7,3
소계,폭력범죄,약취・유인,유혹,17,15,5,5,14,14,9,6,9,6,16,9
소계,폭력범죄,약취・유인,우발적,43,30,47,37,32,41,46,44,45,43,51,50
소계,폭력범죄,약취・유인,현실불만,5,6,2,2,-,-,-,-,4,2,-,2
소계,폭력범죄,약취・유인,부주의,5,-,5,2,9,3,7,1,4,4,3,11
소계,폭력범죄,약취・유인,기타,99,84,69,57,55,101,75,75,88,77,131,86
소계,폭력범죄,약취・유인,미상,99,74,91,73,89,89,89,83,143,123,88,130
소계,폭력범죄,폭력행위등,이욕,5134,5851,3174,2191,1648,1240,1035,867,800,815,618,617
소계,폭력범죄,폭력행위등,사행심,208,266,187,98,66,76,113,74,81,105,60,45
소계,폭력범죄,폭력행위등,보복,36,42,39,41,67,112,12,4,1,20,12,29
소계,폭력범죄,폭력행위등,가정불화,875,937,1174,1068,2318,401,235,186,167,123,125,103
소계,폭력범죄,폭력행위등,호기심,225,275,212,205,208,204,198,95,84,164,414,346
소계,폭력범죄,폭력행위등,유혹,123,181,96,55,44,20,50,67,28,21,29,15
