대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,소계,소계,정읍시,-,-,-,834,1042,1133,1219,1431,1363,1533,1463,1503,1637,1663,1932,1991,1864
형법범,소계,소계,용인시,-,-,-,-,-,-,-,-,-,-,4378,6659,6590,6721,8135,9341,8075
형법범,소계,소계,시흥시,-,-,-,-,-,-,-,-,-,-,6560,6794,7190,7593,8625,9991,7341
형법범,소계,소계,파주시,-,-,-,-,-,-,-,-,-,-,3460,4554,4882,5045,5238,6160,5191
형법범,소계,소계,양산시,-,-,-,-,-,-,-,-,-,-,2459,2475,3240,3277,3425,3619,4692
형법범,소계,소계,이천시,-,-,-,-,-,-,-,-,-,-,2826,2713,2834,2468,2851,3267,3001
형법범,소계,소계,구리시,-,-,-,-,-,-,-,-,-,-,3780,4279,4371,4929,5163,5452,4265
형법범,소계,소계,서산시,-,-,-,-,-,-,-,-,-,-,1594,1886,1842,1980,2624,2587,2263
형법범,소계,소계,제천시,-,-,-,-,-,-,-,-,-,-,2159,2117,2020,2513,2269,2129,1921
형법범,소계,소계,논산시,-,-,-,-,-,-,-,-,-,-,1740,2068,1718,2219,2134,1794,1877
형법범,소계,소계,기타도시,38161,45558,57327,36568,51353,57230,53451,53860,52606,63501,55669,55971,54601,58447,61425,73659,66589
형법범,소계,소계,도시이외,66132,59315,60206,42439,54619,61607,62444,60479,55248,59667,58027,53521,61809,63957,69055,71921,68882
형법범,소계,소계,기타,185,40,142,15,28,2709,21528,26335,24579,26664,-,-,-,-,-,-,-
형법범,강력범,소계,서울특별시,2825,2310,2208,2343,2636,2761,3286,4039,4045,4860,3938,3869,3793,3699,3775,4492,6624
형법범,강력범,소계,부산광역시,1046,675,724,858,1316,1245,1331,1222,972,1155,1218,1017,1323,1172,1457,2214,2344
형법범,강력범,소계,대구광역시,582,460,478,570,696,682,609,636,638,641,670,711,619,697,685,847,1088
형법범,강력범,소계,인천광역시,733,528,676,808,800,730,814,735,769,846,881,947,1008,1118,1060,1188,1524
형법범,강력범,소계,광주광역시,382,379,423,548,589,482,561,582,617,671,517,518,515,527,523,577,853
형법범,강력범,소계,대전광역시,325,275,311,352,556,595,551,591,584,689,505,493,620,529,874,773,667
형법범,강력범,소계,울산광역시,254,239,282,314,292,318,380,310,317,353,360,338,379,487,436,452,521
형법범,강력범,소계,부천시,248,173,195,190,261,237,314,215,221,275,292,374,392,409,488,522,538
형법범,강력범,소계,수원시,301,257,262,281,279,272,324,405,367,480,448,411,433,409,464,568,598
형법범,강력범,소계,성남시,208,145,192,237,258,250,303,262,243,275,406,278,351,295,335,397,466
형법범,강력범,소계,전주시,132,112,136,121,180,152,141,138,123,131,167,207,162,188,225,190,288
형법범,강력범,소계,안양시,191,107,102,172,154,125,148,165,149,128,159,179,198,162,188,215,264
형법범,강력범,소계,청주시,131,143,218,164,218,187,253,195,217,293,221,231,275,284,343,300,375
형법범,강력범,소계,마산시,127,128,136,122,147,137,135,144,112,114,129,138,134,137,164,139,170
형법범,강력범,소계,창원시,98,90,81,55,99,108,125,153,233,239,177,201,200,200,227,210,249
형법범,강력범,소계,광명시,72,48,62,61,84,90,54,56,74,64,93,91,86,82,137,171,145
형법범,강력범,소계,포항시,118,111,118,130,142,156,154,157,141,149,138,121,168,119,139,133,203
