대분류,중분류,소분류,은신처별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,범인은닉·범인도피죄,지인집,6,3,1,5,3,-,1,2,2,1,2,3,5,4,1,7,2
형법범,기타형법범,범인은닉·범인도피죄,숙박업소,7,4,1,3,3,2,6,3,4,-,4,3,2,3,5,4,1
형법범,기타형법범,범인은닉·범인도피죄,야 외,2,2,1,1,4,2,4,5,4,1,4,5,1,4,2,6,6
형법범,기타형법범,범인은닉·범인도피죄,현장검거,87,99,146,164,170,208,198,221,229,182,264,133,122,113,139,138,158
형법범,기타형법범,범인은닉·범인도피죄,외 국,-,-,2,-,-,-,-,2,-,-,1,-,-,-,-,1,-
형법범,기타형법범,범인은닉·범인도피죄,기 타,245,255,341,364,447,419,493,665,678,688,446,269,244,267,267,324,279
형법범,기타형법범,위증죄,자기집,1490,1326,1147,1265,1340,1712,1541,1400,1229,1126,1175,958,824,746,636,579,627
형법범,기타형법범,위증죄,공범집,-,-,-,-,-,-,1,1,-,-,-,-,3,-,-,1,-
형법범,기타형법범,위증죄,애인집,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
형법범,기타형법범,위증죄,친족집,1,-,-,2,1,1,2,1,1,1,1,2,5,5,1,2,-
형법범,기타형법범,위증죄,지인집,-,1,1,-,1,-,1,1,1,-,10,4,5,9,7,4,1
형법범,기타형법범,위증죄,숙박업소,-,1,1,1,-,1,4,1,1,2,1,-,1,-,1,1,1
형법범,기타형법범,위증죄,야 외,-,-,-,2,2,-,1,-,-,1,-,-,-,1,-,-,-
형법범,기타형법범,위증죄,현장검거,3,8,3,13,30,24,28,38,42,6,1,1,1,2,-,1,3
형법범,기타형법범,위증죄,외 국,2,1,1,2,3,1,5,1,1,-,4,3,3,2,3,5,3
형법범,기타형법범,위증죄,기 타,960,847,838,883,888,1302,1301,1193,1046,970,1575,1721,1829,2014,2294,2490,2410
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,자기집,30,68,20,22,34,35,25,23,40,27,13,14,11,23,12,22,21
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,친족집,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,지인집,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,숙박업소,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,야 외,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,현장검거,3,-,7,2,4,5,4,1,10,5,1,2,-,6,2,-,2
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,외 국,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,기 타,27,40,19,21,20,27,42,54,32,37,34,35,67,46,37,49,75
형법범,기타형법범,무고의 죄,자기집,1076,1006,951,1091,990,1346,1313,1325,1302,1229,1131,1115,864,593,634,623,621
형법범,기타형법범,무고의 죄,공범집,-,-,-,-,1,1,1,-,-,1,2,1,1,-,-,2,-
형법범,기타형법범,무고의 죄,애인집,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,1
형법범,기타형법범,무고의 죄,친족집,-,3,2,-,1,2,4,1,-,1,1,1,-,1,1,2,1
형법범,기타형법범,무고의 죄,지인집,-,2,2,1,1,1,-,1,1,-,7,4,2,3,4,4,2
형법범,기타형법범,무고의 죄,숙박업소,5,1,1,-,-,1,1,4,-,1,2,2,-,1,-,2,2
형법범,기타형법범,무고의 죄,야 외,1,-,1,3,1,-,-,1,-,-,-,-,1,2,-,1,1
형법범,기타형법범,무고의 죄,현장검거,5,18,8,13,22,53,42,49,48,17,30,8,11,18,6,17,11
형법범,기타형법범,무고의 죄,외 국,1,2,8,2,3,-,2,2,2,2,6,3,6,5,4,3,5
형법범,기타형법범,무고의 죄,기 타,717,657,750,753,860,1221,1252,1263,1136,1195,1914,2128,2442,2271,2461,3070,3098
형법범,기타형법범,특가법(무고),자기집,2,-,-,-,-,-,-,2,-,-,4,-,-,2,-,-,-
형법범,기타형법범,특가법(무고),숙박업소,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(무고),현장검거,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-
형법범,기타형법범,특가법(무고),기 타,1,-,-,-,1,2,2,5,5,1,2,9,2,2,-,1,-
형법범,기타형법범,신앙에 관한 죄,자기집,152,102,143,145,89,145,80,171,168,164,146,160,219,163,112,114,123
형법범,기타형법범,신앙에 관한 죄,공범집,-,-,-,-,-,-,1,-,1,-,1,-,1,1,-,-,-
형법범,기타형법범,신앙에 관한 죄,애인집,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
형법범,기타형법범,신앙에 관한 죄,친족집,-,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
형법범,기타형법범,신앙에 관한 죄,지인집,-,-,-,-,-,-,-,-,3,-,1,2,-,-,-,-,2
형법범,기타형법범,신앙에 관한 죄,숙박업소,-,-,-,-,1,1,-,-,1,-,-,1,2,-,-,-,1
형법범,기타형법범,신앙에 관한 죄,야 외,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,신앙에 관한 죄,현장검거,2,1,2,1,29,2,3,10,5,2,13,9,10,13,11,6,8
형법범,기타형법범,신앙에 관한 죄,외 국,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-
형법범,기타형법범,신앙에 관한 죄,기 타,99,128,80,125,93,146,165,148,111,262,364,283,306,439,239,327,281
형법범,기타형법범,실화 및 업무상실화죄,자기집,554,464,407,372,300,310,330,306,245,217,264,273,276,308,379,409,416
형법범,기타형법범,실화 및 업무상실화죄,공범집,2,-,1,-,-,1,-,-,-,-,1,2,-,2,-,1,-
형법범,기타형법범,실화 및 업무상실화죄,애인집,-,-,-,-,-,2,1,-,1,-,-,-,-,1,-,-,-
형법범,기타형법범,실화 및 업무상실화죄,친족집,9,6,6,2,3,5,4,4,2,1,6,3,7,1,4,3,5
형법범,기타형법범,실화 및 업무상실화죄,지인집,7,3,1,5,3,3,2,2,2,1,2,2,4,2,10,6,3
형법범,기타형법범,실화 및 업무상실화죄,숙박업소,4,6,2,3,-,1,3,2,2,2,6,4,2,3,7,5,-
형법범,기타형법범,실화 및 업무상실화죄,야 외,1,3,6,1,3,5,4,4,7,-,2,3,5,11,7,21,9
형법범,기타형법범,실화 및 업무상실화죄,현장검거,421,444,376,282,258,336,354,364,318,256,341,340,267,230,251,248,190
형법범,기타형법범,실화 및 업무상실화죄,외 국,-,1,2,-,1,2,1,-,-,1,-,-,1,1,1,-,-
