대분류,중분류,소분류,은신처별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
형법범,폭력범죄,체포・감금,현장검거,144,139,191,182,214,331,351,285,244,207,176,150
형법범,폭력범죄,체포・감금,외국,-,1,2,-,-,1,1,-,-,-,-,-
형법범,폭력범죄,체포・감금,기타,223,205,189,156,208,281,294,223,214,215,186,176
형법범,폭력범죄,체포・감금,미상,368,453,444,512,503,569,678,646,684,721,572,533
형법범,폭력범죄,협박,소계,3855,4732,4682,5160,9197,16825,16599,18337,22377,22507,22023,22451
형법범,폭력범죄,협박,자기집,942,1281,1300,1349,2765,5144,5239,5958,7394,7953,8831,8950
형법범,폭력범죄,협박,공범집,-,-,1,1,-,3,2,-,1,2,-,1
형법범,폭력범죄,협박,애인집,-,2,4,1,5,21,10,12,22,18,24,42
형법범,폭력범죄,협박,친족집,-,1,5,5,20,25,32,28,42,49,70,61
형법범,폭력범죄,협박,지인집,4,3,7,6,16,32,48,45,46,58,66,78
형법범,폭력범죄,협박,숙박업소,9,7,3,10,25,33,32,40,56,43,38,63
형법범,폭력범죄,협박,야외,7,11,9,8,30,93,110,111,126,80,98,100
형법범,폭력범죄,협박,현장검거,398,517,577,626,1563,3963,3534,3655,4379,3727,3401,3663
형법범,폭력범죄,협박,외국,-,2,4,7,4,2,7,4,4,-,-,-
형법범,폭력범죄,협박,기타,806,965,797,860,1424,3039,2980,2864,3361,3395,3330,3123
형법범,폭력범죄,협박,미상,1689,1943,1975,2287,3345,4470,4605,5620,6946,7182,6165,6370
형법범,폭력범죄,약취・유인,소계,340,270,260,252,252,305,285,260,351,296,318,321
형법범,폭력범죄,약취・유인,자기집,82,99,58,95,70,106,106,97,119,101,160,111
형법범,폭력범죄,약취・유인,공범집,-,-,-,-,-,2,1,-,-,-,-,-
형법범,폭력범죄,약취・유인,애인집,1,-,-,-,1,2,1,-,1,2,1,-
형법범,폭력범죄,약취・유인,친족집,1,2,1,1,-,3,3,2,-,2,3,2
형법범,폭력범죄,약취・유인,지인집,3,-,1,2,6,5,4,5,2,2,7,1
형법범,폭력범죄,약취・유인,숙박업소,8,10,6,4,1,5,7,1,8,5,7,5
형법범,폭력범죄,약취・유인,야외,3,1,2,2,1,1,1,3,7,2,-,5
형법범,폭력범죄,약취・유인,현장검거,44,23,27,20,29,37,37,34,22,13,13,21
