죄종별(1),죄종별(2),죄종별(3),범죄발생요일별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,지능범죄,문서・인장,금요일,2444,2571,2759,2412,2459,2294,2129,1991,1978,2100,1790,2022
총범죄,지능범죄,문서・인장,목요일,2497,2414,2633,2494,2480,2157,2087,2710,2032,1956,1853,1985
총범죄,지능범죄,문서・인장,수요일,2522,2393,2528,2457,2465,2245,1990,1893,1840,1974,1843,1946
총범죄,지능범죄,문서・인장,월요일,3101,2603,3002,2799,2823,2427,2152,2202,2130,2197,2026,2082
총범죄,지능범죄,문서・인장,일요일,734,886,788,756,806,874,921,673,620,570,416,484
총범죄,지능범죄,문서・인장,토요일,1042,1058,1043,1012,1070,1066,1174,829,772,730,585,667
총범죄,지능범죄,문서・인장,화요일,2608,2468,2632,2511,2443,2232,1999,1992,1971,2006,1959,2073
총범죄,지능범죄,배임,금요일,822,718,800,842,777,823,680,790,905,765,615,690
총범죄,지능범죄,배임,목요일,1034,730,772,726,710,706,628,730,735,703,560,640
총범죄,지능범죄,배임,수요일,751,683,734,747,747,753,610,725,787,735,561,643
총범죄,지능범죄,배임,월요일,803,809,752,722,738,706,613,802,859,701,696,667
총범죄,지능범죄,배임,일요일,255,269,338,298,289,274,273,248,248,215,182,148
총범죄,지능범죄,배임,토요일,315,317,412,327,317,347,282,288,302,245,233,154
총범죄,지능범죄,배임,화요일,745,703,809,794,711,749,620,761,730,728,619,664
총범죄,지능범죄,사기,금요일,38607,40317,45061,39947,41122,39638,38384,46698,52039,57481,47878,55241
총범죄,지능범죄,사기,목요일,36696,40396,44068,39064,40262,40052,38937,45752,51654,58505,50177,55538
총범죄,지능범죄,사기,수요일,37171,39195,43920,39182,40939,40326,38155,45399,51225,57917,49687,54397
총범죄,지능범죄,사기,월요일,36993,38739,46295,40767,41581,39426,37853,45478,52740,61648,52445,56266
총범죄,지능범죄,사기,일요일,15536,16590,20398,18083,18943,19759,18962,19524,20814,24493,19660,22374
총범죄,지능범죄,사기,토요일,21479,20078,23891,20985,22723,22229,20912,22158,24124,28439,22435,26051
총범죄,지능범죄,사기,화요일,36988,40051,45449,40381,41723,40183,38286,45020,51876,59192,51793,55981
총범죄,지능범죄,소계,금요일,48469,50556,55511,50073,52373,51436,49888,58834,64724,70358,58798,68516
총범죄,지능범죄,소계,목요일,46204,50237,53760,48444,50774,50809,49578,57746,63327,70131,60576,67742
총범죄,지능범죄,소계,수요일,46190,48604,53111,48653,51632,51084,48677,56448,62642,69560,59925,66354
총범죄,지능범죄,소계,월요일,47150,48950,56669,50644,52765,50461,48664,56954,64776,73767,63251,68747
총범죄,지능범죄,소계,일요일,19160,21334,25279,23301,25517,27222,26875,27392,29037,32442,26069,30173
총범죄,지능범죄,소계,토요일,26497,25510,29949,27382,30760,30739,30031,31248,33854,37517,30275,35425
총범죄,지능범죄,소계,화요일,46132,49910,55160,50155,52300,50826,48753,56076,63173,70867,62213,68148
총범죄,지능범죄,유가증권인지,금요일,172,92,73,58,47,38,34,58,24,15,8,8
총범죄,지능범죄,유가증권인지,목요일,102,77,78,69,53,32,39,32,21,14,10,10
총범죄,지능범죄,유가증권인지,수요일,143,84,87,54,44,37,37,30,30,19,8,10
총범죄,지능범죄,유가증권인지,월요일,129,90,77,65,46,47,41,20,22,13,18,8
총범죄,지능범죄,유가증권인지,일요일,45,29,40,21,17,7,11,17,8,2,2,3
총범죄,지능범죄,유가증권인지,토요일,87,42,37,27,26,13,17,15,19,6,6,2
총범죄,지능범죄,유가증권인지,화요일,125,94,64,66,49,45,38,25,16,15,11,17
총범죄,지능범죄,증수뢰,금요일,104,65,33,38,49,52,61,61,45,46,99,74
총범죄,지능범죄,증수뢰,목요일,116,59,44,44,38,36,54,64,42,63,67,56
총범죄,지능범죄,증수뢰,수요일,97,58,52,53,30,51,63,69,52,38,62,51
총범죄,지능범죄,증수뢰,월요일,117,61,42,35,42,49,47,53,46,40,56,44
총범죄,지능범죄,증수뢰,일요일,20,31,15,18,22,24,28,22,13,15,22,11
총범죄,지능범죄,증수뢰,토요일,33,30,24,31,22,16,18,21,20,23,34,25
총범죄,지능범죄,증수뢰,화요일,99,53,43,32,44,32,41,57,42,64,62,59
총범죄,지능범죄,직권남용,금요일,34,57,38,65,57,64,89,104,136,157,156,277
총범죄,지능범죄,직권남용,목요일,36,48,61,58,71,88,82,110,107,126,174,370
총범죄,지능범죄,직권남용,수요일,34,35,52,52,72,76,89,110,97,115,142,314
총범죄,지능범죄,직권남용,월요일,52,40,58,60,81,66,77,96,126,122,162,345
총범죄,지능범죄,직권남용,일요일,11,23,26,29,40,25,41,33,44,36,49,75
총범죄,지능범죄,직권남용,토요일,18,27,37,40,30,41,39,40,46,45,40,67
총범죄,지능범죄,직권남용,화요일,41,46,53,60,50,77,77,110,118,123,152,344
총범죄,지능범죄,직무유기,금요일,76,73,97,112,81,94,78,103,102,123,165,276
총범죄,지능범죄,직무유기,목요일,67,86,81,88,69,86,92,114,99,117,180,280
총범죄,지능범죄,직무유기,수요일,69,96,85,97,85,91,99,92,106,134,166,278
총범죄,지능범죄,직무유기,월요일,60,81,106,121,99,99,98,105,108,152,200,301
총범죄,지능범죄,직무유기,일요일,16,34,44,43,31,43,35,39,24,36,29,66
총범죄,지능범죄,직무유기,토요일,29,39,50,41,38,29,32,36,28,49,39,42
총범죄,지능범죄,직무유기,화요일,60,87,92,75,104,89,70,92,123,119,178,307
총범죄,지능범죄,통화,금요일,1541,1480,710,483,311,356,471,212,178,99,68,83
총범죄,지능범죄,통화,목요일,1425,1519,685,466,318,343,471,242,177,110,69,77
총범죄,지능범죄,통화,수요일,1354,1398,609,467,331,312,492,208,187,101,61,86
총범죄,지능범죄,통화,월요일,1451,1608,848,547,368,332,621,230,186,141,76,90
총범죄,지능범죄,통화,일요일,184,348,119,149,80,57,113,34,35,30,17,12
총범죄,지능범죄,통화,토요일,520,308,178,151,90,79,145,42,48,22,13,24
총범죄,지능범죄,통화,화요일,1425,1542,725,507,324,332,481,226,169,123,72,80
총범죄,지능범죄,횡령,금요일,4669,5183,5940,6116,7470,8077,7962,8817,9317,9572,8019,9845
총범죄,지능범죄,횡령,목요일,4231,4908,5338,5435,6773,7309,7188,7992,8460,8537,7486,8786
총범죄,지능범죄,횡령,수요일,4049,4662,5044,5544,6919,7193,7142,7922,8318,8527,7395,8629
총범죄,지능범죄,횡령,월요일,4444,4919,5489,5528,6987,7309,7162,7968,8559,8753,7572,8944
총범죄,지능범죄,횡령,일요일,2359,3124,3511,3904,5289,6159,6491,6802,7231,7045,5692,7000
총범죄,지능범죄,횡령,토요일,2974,3611,4277,4768,6444,6919,7412,7819,8495,7958,6890,8393
총범죄,지능범죄,횡령,화요일,4041,4866,5293,5729,6852,7087,7141,7793,8128,8497,7367,8623
