죄종별(1),죄종별(2),죄종별(3),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
특별법범,소계,변호사법,417,320,364,314,418,496,439,455,372,366,397,473,377,365,395,438,450
특별법범,소계,병역법,17757,14642,5840,5279,6751,7183,11315,12901,16373,21003,17913,14263,11027,10516,8748,7844,9584
특별법범,소계,병역의무특례규제에 관한 법률,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
특별법범,소계,보건범죄특조법(부정식품),35,33,54,56,34,110,74,65,50,57,2,3,2,5,5,11,4
특별법범,소계,보건범죄특조법(부정유독물),1,2,1,2,-,2,2,2,3,4,3,-,-,-,-,-,-
특별법범,소계,보건범죄특조법(부정의료업자),193,237,156,183,191,478,517,355,340,347,1055,627,353,467,557,572,328
특별법범,소계,보건범죄특조법(부정의약품),10,21,16,15,12,16,16,14,13,8,28,13,11,8,49,30,7
특별법범,소계,보건범죄특조법(허위정보),-,1,-,1,4,2,3,1,3,10,1,1,-,-,-,-,-
특별법범,소계,보안관찰법,-,1,1,4,3,-,-,5,2,3,2,2,-,-,-,-,-
특별법범,소계,복표발행등사행행위단속법,2,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,부동산중개업법,399,379,302,321,372,718,459,503,583,684,898,1119,918,857,804,883,970
특별법범,소계,부정경쟁방지 및 영업비밀보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,642,450,657,435,505,505,429
특별법범,소계,부정경쟁방지법,263,166,148,175,154,239,115,136,103,72,-,-,-,-,-,-,-
특별법범,소계,부정수표단속법,85605,104587,83751,75114,87488,36997,21138,17462,14347,19582,30433,19430,16375,12790,12804,13915,8456
특별법범,소계,사격 및 사격장단속법,1,3,-,2,-,1,-,-,-,-,5,1,2,2,1,4,3
특별법범,소계,사설강습소에 관한법률,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
특별법범,소계,사행행위등 규제 및 처벌특례법,318,139,184,139,176,251,44,47,43,61,1053,976,2322,3479,4757,5460,4326
특별법범,소계,사회보호법,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,사회안전법,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
특별법범,소계,산림법,338,321,283,296,320,461,558,548,510,430,388,315,274,59,24,26,9
특별법범,소계,산업안전보건법,28,48,28,35,23,20,34,38,42,25,16,16,11,9,10,17,6
특별법범,소계,상법,10,9,22,19,43,20,54,34,106,131,32,184,81,46,43,73,134
특별법범,소계,상표법,300,337,321,465,462,1455,1191,1925,2334,1911,3632,1328,4649,2175,4255,4105,3172
특별법범,소계,상품권법,16,10,38,15,8,3,-,-,1,-,-,-,-,-,-,-,-
특별법범,소계,상호신용금고법,12,16,25,66,42,51,33,11,56,-,-,-,-,-,-,-,-
특별법범,소계,새마을금고법,21,7,11,17,14,20,19,10,9,16,27,10,5,13,32,9,6
특별법범,소계,석유 및 석유대체연료사업법,-,-,-,-,-,-,-,-,-,-,-,4974,6325,6842,3665,5208,2821
특별법범,소계,석유사업법,-,-,-,-,-,-,-,-,-,-,8909,2527,193,41,29,26,24
특별법범,소계,선박안전법,253,312,351,705,707,744,1138,1176,1260,936,575,630,573,900,481,216,299
특별법범,소계,선박직원법,-,-,-,-,-,-,-,-,-,-,1473,1352,855,2326,1754,731,660
특별법범,소계,성매매알선등 행위의 처벌에 관한 법률,-,-,-,-,-,-,-,-,-,-,839,3361,6915,7770,15804,24244,9019
특별법범,소계,성폭력범죄의 처벌 및 피해자보호등에 관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5152,5853,-
특별법범,소계,성폭력범죄의 처벌 및 피해자보호에 관한 법,1232,1249,1446,1440,1868,2206,2920,2750,5461,5963,-,-,-,-,-,-,-
특별법범,소계,성폭력범죄의 처벌 및 피해자보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,4272,4307,4958,4863,-,-,-
특별법범,소계,성폭력범죄의처벌등에관한특례법(카메라등이이용촬영),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1137
특별법범,소계,성폭력범죄의처벌등에관한특례법(통신매치용음란),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1031
특별법범,소계,소개영업법,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,소년법,-,-,-,-,-,-,-,3,1,-,-,-,-,22,1,-,-
특별법범,소계,소방법,-,-,-,-,-,-,-,-,-,-,134,4,2,-,-,-,-
특별법범,소계,소비자보호법,2,2,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,소음·진동규제법,189,122,72,83,91,84,222,159,132,112,151,54,46,47,30,44,43
특별법범,소계,수도법,100,124,146,70,272,185,127,122,132,201,108,152,188,187,109,80,55
특별법범,소계,수산물품질관리법,-,-,-,-,-,-,-,-,-,-,359,108,652,2809,1398,267,102
특별법범,소계,수산업법,-,-,-,-,-,-,-,-,-,-,10867,10219,9882,6118,5748,4665,6399
특별법범,소계,수산자원보호령,260,411,432,1375,2959,1994,2903,1246,2454,1902,2482,4589,2168,2871,2839,1172,459
특별법범,소계,수질환경보전법,829,865,891,980,3930,943,3815,2576,1944,1874,807,1561,773,698,28,4,-
특별법범,소계,수표법,35,-,2,-,-,1,-,-,1,-,1,-,1,-,-,-,-
특별법범,소계,숙박업법,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,식품위생법,54583,46239,50262,47953,60112,40652,28431,28290,22004,18910,19435,12354,12853,9632,9286,10318,7662
특별법범,소계,신용정보의 이용 및 보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,87,216,104,91,113,113,50
특별법범,소계,신용조사업법,6,7,2,2,1,2,-,1,-,-,-,-,-,-,-,-,-
특별법범,소계,신용카드업법,1187,1427,1824,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,실용신안법,114,114,121,223,222,310,323,326,315,282,285,349,280,201,213,338,370
특별법범,소계,아동복지법,47,67,100,112,111,102,60,90,79,108,109,109,105,101,102,99,80
특별법범,소계,액화석유가스의 안전 및 사업관리법,155,161,169,158,150,255,194,351,143,163,175,185,150,110,84,102,102
특별법범,소계,야생동식물보호법,-,-,-,-,-,-,-,-,-,-,-,121,497,766,543,629,651
특별법범,소계,약사법,601,480,497,790,616,1627,1449,1774,1426,1549,2319,2107,1003,1485,2567,2643,1150
특별법범,소계,양곡관리법,15,2,7,12,10,17,5,2,4,9,8,7,26,33,43,5,2
