대분류,중분류,소분류,범행동기별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,소계,우발적,3598,3263,3893,4156,4724,5076,5882,7356,8069,7725,10457,10873,13944,19735,26075,28595,21409
형법범,기타형법범,소계,현실불만,1080,833,872,1283,1259,1613,1469,1599,2037,2022,1702,1716,2104,2898,3791,3653,2732
형법범,기타형법범,소계,부주의,5571,5892,5800,5654,5619,6025,6230,5871,5173,5023,4290,3951,4302,4692,5525,6498,6279
형법범,기타형법범,소계,기타,18819,18807,19695,21931,24520,30251,29983,29871,29294,30235,40751,43401,48738,52155,48933,53583,45498
형법범,기타형법범,장물에 관한죄,이욕,815,699,723,665,1190,1356,1098,846,754,725,287,407,403,411,292,482,1215
형법범,기타형법범,장물에 관한죄,사행심,32,33,21,42,28,30,23,19,7,8,35,58,42,36,56,105,-
형법범,기타형법범,장물에 관한죄,보복,-,-,2,1,-,1,-,1,-,-,-,2,-,1,1,-,79
형법범,기타형법범,장물에 관한죄,가정불화,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-
형법범,기타형법범,장물에 관한죄,호기심,170,150,123,162,117,61,65,44,53,35,60,54,66,105,97,80,70
형법범,기타형법범,장물에 관한죄,유혹,73,37,116,41,76,69,57,27,39,22,28,44,82,92,63,105,69
형법범,기타형법범,장물에 관한죄,우발적,142,157,139,103,188,162,132,125,109,80,151,125,254,306,283,486,376
형법범,기타형법범,장물에 관한죄,현실불만,2,3,1,2,1,8,3,-,1,2,1,1,1,5,3,3,2
형법범,기타형법범,장물에 관한죄,부주의,228,215,199,238,462,603,493,341,224,234,236,344,386,562,508,952,1277
형법범,기타형법범,장물에 관한죄,기타,739,713,728,757,1171,1210,1013,704,607,679,1198,1395,1575,2140,1230,1712,1405
형법범,기타형법범,특가법(장물),이욕,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),사행심,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),유혹,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),부주의,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),기타,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),이욕,-,8,24,17,14,40,63,31,17,42,20,44,24,15,3,22,27
형법범,기타형법범,특가법(장물),사행심,-,-,-,-,-,2,2,1,1,-,2,-,-,-,1,-,-
형법범,기타형법범,특가법(장물),보복,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,특가법(장물),호기심,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),유혹,-,-,53,2,-,1,1,-,-,-,-,3,3,-,-,2,1
형법범,기타형법범,특가법(장물),우발적,-,-,-,1,-,-,-,2,-,-,-,4,3,-,3,2,6
형법범,기타형법범,특가법(장물),현실불만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
형법범,기타형법범,특가법(장물),부주의,-,1,2,-,6,6,4,3,2,-,-,4,-,1,3,1,1
형법범,기타형법범,특가법(장물),기타,-,7,13,11,28,30,13,11,5,17,26,68,36,28,12,41,15
형법범,기타형법범,내란의 죄,현실불만,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
형법범,기타형법범,내란의 죄,기타,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,이욕,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,기타,9,-,-,-,1,-,-,3,1,-,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,우발적,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,기타,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,이욕,19,16,9,36,21,49,30,46,25,18,4,4,1,7,8,1,5
형법범,기타형법범,공안을 해하는 죄,사행심,1,1,12,4,-,3,-,3,-,-,-,-,16,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,보복,-,3,2,4,1,-,-,-,-,-,-,-,2,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,가정불화,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,호기심,2,3,1,3,2,1,1,-,2,1,-,-,1,-,1,-,-
형법범,기타형법범,공안을 해하는 죄,유혹,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,우발적,2,3,3,18,1,5,7,2,4,1,2,9,5,4,2,2,1
형법범,기타형법범,공안을 해하는 죄,현실불만,-,-,1,16,-,-,1,-,-,2,-,-,-,-,-,-,1
형법범,기타형법범,공안을 해하는 죄,부주의,7,-,-,1,1,-,3,2,2,2,1,-,-,1,2,1,2
형법범,기타형법범,공안을 해하는 죄,기타,20,26,23,41,54,46,23,27,27,19,35,27,57,39,54,22,12
